"Detector Type	Number of keypoints on preceding vehicle	Size of neighborhood",Number of keypoints on preceding vehicle,Size of neighborhood
SHITOMASI,125,4
SHITOMASI,118,4
SHITOMASI,123,4
SHITOMASI,120,4
SHITOMASI,120,4
SHITOMASI,113,4
SHITOMASI,114,4
SHITOMASI,123,4
SHITOMASI,111,4
SHITOMASI,112,4
"HARRIS	17	6",17,6
HARRIS,14,6
HARRIS,19,6
HARRIS,22,6
HARRIS,26,6
HARRIS,47,6
HARRIS,18,6
HARRIS,33,6
HARRIS,27,6
HARRIS,35,6
FAST,419,7
FAST,427,7
FAST,404,7
FAST,423,7
FAST,386,7
FAST,414,7
FAST,418,7
FAST,406,7
FAST,396,7
FAST,401,7
ORB,91,31
ORB,102,31
ORB,106,31
ORB,113,31
ORB,109,31
ORB,124,31
ORB,129,31
ORB,127,31
ORB,124,31
ORB,125,31
AKAZE,162,4.8
AKAZE,157,4.8
AKAZE,159,4.8
AKAZE,154,4.8
AKAZE,162,4.8
AKAZE,163,4.8
AKAZE,173,4.8
AKAZE,175,4.8
AKAZE,175,4.8
AKAZE,175,4.8
SIFT,137,5.07005
SIFT,131,4.96951
SIFT,121,2.98668
SIFT,135,1.98798
SIFT,134,3.31252
SIFT,139,2.02517
SIFT,136,3.03291
SIFT,147,1.86606
SIFT,156,2.09694
SIFT,135,2.08917
BRISK,264,7
BRISK,282,7
BRISK,277,7
BRISK,297,7
BRISK,279,7
BRISK,289,7
BRISK,272,7
BRISK,266,7
BRISK,254,7
